"","GEOID","County","State","indicator","value"
"90","05047","Franklin, AR","ARKANSAS","Total Population",17738
"91","05049","Fulton, AR","ARKANSAS","Total Population",12231
"92","05051","Garland, AR","ARKANSAS","Total Population",98555
"93","05053","Grant, AR","ARKANSAS","Total Population",18126
"94","05055","Greene, AR","ARKANSAS","Total Population",44937
"95","05057","Hempstead, AR","ARKANSAS","Total Population",21842
"96","05059","HotSpring, AR","ARKANSAS","Total Population",33597
"97","05061","Howard, AR","ARKANSAS","Total Population",13311
"98","05063","Independence, AR","ARKANSAS","Total Population",37427
"99","05065","Izard, AR","ARKANSAS","Total Population",13570
"100","05067","Jackson, AR","ARKANSAS","Total Population",17027
"101","05069","Jefferson, AR","ARKANSAS","Total Population",69282
"102","05071","Johnson, AR","ARKANSAS","Total Population",26372
"103","05073","Lafayette, AR","ARKANSAS","Total Population",6800
"104","05075","Lawrence, AR","ARKANSAS","Total Population",16549
"105","05077","Lee, AR","ARKANSAS","Total Population",9194
"106","05079","Lincoln, AR","ARKANSAS","Total Population",13455
"107","05081","LittleRiver, AR","ARKANSAS","Total Population",12347
"108","05083","Logan, AR","ARKANSAS","Total Population",21668
"109","05085","Lonoke, AR","ARKANSAS","Total Population",72528
"110","05087","Madison, AR","ARKANSAS","Total Population",16211
"111","05089","Marion, AR","ARKANSAS","Total Population",16476
"112","05091","Miller, AR","ARKANSAS","Total Population",43572
"113","05093","Mississippi, AR","ARKANSAS","Total Population",42126
"114","05095","Monroe, AR","ARKANSAS","Total Population",7050
"115","05097","Montgomery, AR","ARKANSAS","Total Population",8950
"116","05099","Nevada, AR","ARKANSAS","Total Population",8351
"117","05101","Newton, AR","ARKANSAS","Total Population",7812
"118","05103","Ouachita, AR","ARKANSAS","Total Population",23830
"119","05105","Perry, AR","ARKANSAS","Total Population",10355
"120","05107","Phillips, AR","ARKANSAS","Total Population",18606
"121","05109","Pike, AR","ARKANSAS","Total Population",10756
"122","05111","Poinsett, AR","ARKANSAS","Total Population",23896
"123","05113","Polk, AR","ARKANSAS","Total Population",20094
"124","05115","Pope, AR","ARKANSAS","Total Population",63761
"125","05117","Prairie, AR","ARKANSAS","Total Population",8189
"126","05119","Pulaski, AR","ARKANSAS","Total Population",392967
"127","05121","Randolph, AR","ARKANSAS","Total Population",17695
"128","05123","St.Francis, AR","ARKANSAS","Total Population",25900
"129","05125","Saline, AR","ARKANSAS","Total Population",119415
"130","05127","Scott, AR","ARKANSAS","Total Population",10376
"131","05129","Searcy, AR","ARKANSAS","Total Population",7908
"132","05131","Sebastian, AR","ARKANSAS","Total Population",127591
"133","05133","Sevier, AR","ARKANSAS","Total Population",17081
"134","05135","Sharp, AR","ARKANSAS","Total Population",17139
"135","05137","Stone, AR","ARKANSAS","Total Population",12475
"136","05139","Union, AR","ARKANSAS","Total Population",39449
"137","05141","VanBuren, AR","ARKANSAS","Total Population",16642
"138","05143","Washington, AR","ARKANSAS","Total Population",232289
"139","05145","White, AR","ARKANSAS","Total Population",78762
"140","05147","Woodruff, AR","ARKANSAS","Total Population",6533
"141","05149","Yell, AR","ARKANSAS","Total Population",21464
"142","06001","Alameda, CA","CALIFORNIA","Total Population",1656754
"143","06003","Alpine, CA","CALIFORNIA","Total Population",1039
"144","06005","Amador, CA","CALIFORNIA","Total Population",38429
"145","06007","Butte, CA","CALIFORNIA","Total Population",225817
"146","06009","Calaveras, CA","CALIFORNIA","Total Population",45514
"147","06011","Colusa, CA","CALIFORNIA","Total Population",21454
"148","06013","ContraCosta, CA","CALIFORNIA","Total Population",1142251
"149","06015","DelNorte, CA","CALIFORNIA","Total Population",27495
"150","06017","ElDorado, CA","CALIFORNIA","Total Population",188563
"151","06019","Fresno, CA","CALIFORNIA","Total Population",984521
"152","06021","Glenn, CA","CALIFORNIA","Total Population",27976
"153","06023","Humboldt, CA","CALIFORNIA","Total Population",135940
"154","06025","Imperial, CA","CALIFORNIA","Total Population",180701
"155","06027","Inyo, CA","CALIFORNIA","Total Population",17977
"156","06029","Kern, CA","CALIFORNIA","Total Population",887641
"157","06031","Kings, CA","CALIFORNIA","Total Population",150691
"158","06033","Lake, CA","CALIFORNIA","Total Population",64195
"159","06035","Lassen, CA","CALIFORNIA","Total Population",30818
"160","06037","LosAngeles, CA","CALIFORNIA","Total Population",10081570
"161","06039","Madera, CA","CALIFORNIA","Total Population",155433
"162","06041","Marin, CA","CALIFORNIA","Total Population",259943
"163","06043","Mariposa, CA","CALIFORNIA","Total Population",17420
"164","06045","Mendocino, CA","CALIFORNIA","Total Population",87224
"165","06047","Merced, CA","CALIFORNIA","Total Population",271382
"166","06049","Modoc, CA","CALIFORNIA","Total Population",8907
"167","06051","Mono, CA","CALIFORNIA","Total Population",14310
"168","06053","Monterey, CA","CALIFORNIA","Total Population",433410
"169","06055","Napa, CA","CALIFORNIA","Total Population",139623
"170","06057","Nevada, CA","CALIFORNIA","Total Population",99244
"171","06059","Orange, CA","CALIFORNIA","Total Population",3168044
"172","06061","Placer, CA","CALIFORNIA","Total Population",385512
"173","06063","Plumas, CA","CALIFORNIA","Total Population",18660
"174","06065","Riverside, CA","CALIFORNIA","Total Population",2411439
"175","06067","Sacramento, CA","CALIFORNIA","Total Population",1524553
"176","06069","SanBenito, CA","CALIFORNIA","Total Population",60376
"177","06071","SanBernardino, CA","CALIFORNIA","Total Population",2149031
"178","06073","SanDiego, CA","CALIFORNIA","Total Population",3316073
"179","06075","SanFrancisco, CA","CALIFORNIA","Total Population",874961
"180","06077","SanJoaquin, CA","CALIFORNIA","Total Population",742603
"181","06079","SanLuisObispo, CA","CALIFORNIA","Total Population",282165
"182","06081","SanMateo, CA","CALIFORNIA","Total Population",767423
"183","06083","SantaBarbara, CA","CALIFORNIA","Total Population",444829
"184","06085","SantaClara, CA","CALIFORNIA","Total Population",1927470
"185","06087","SantaCruz, CA","CALIFORNIA","Total Population",273962
"186","06089","Shasta, CA","CALIFORNIA","Total Population",179212
"187","06091","Sierra, CA","CALIFORNIA","Total Population",3040
"188","06093","Siskiyou, CA","CALIFORNIA","Total Population",43468
"189","06095","Solano, CA","CALIFORNIA","Total Population",441829
"190","06097","Sonoma, CA","CALIFORNIA","Total Population",499772
"191","06099","Stanislaus, CA","CALIFORNIA","Total Population",543194
"192","06101","Sutter, CA","CALIFORNIA","Total Population",96109
"193","06103","Tehama, CA","CALIFORNIA","Total Population",63912
"194","06105","Trinity, CA","CALIFORNIA","Total Population",12700
"195","06107","Tulare, CA","CALIFORNIA","Total Population",461898
"196","06109","Tuolumne, CA","CALIFORNIA","Total Population",54045
"197","06111","Ventura, CA","CALIFORNIA","Total Population",847263
"198","06113","Yolo, CA","CALIFORNIA","Total Population",217352
"199","06115","Yuba, CA","CALIFORNIA","Total Population",76360
"200","08001","Adams, CO","COLORADO","Total Population",504108
"201","08003","Alamosa, CO","COLORADO","Total Population",16107
"202","08005","Arapahoe, CO","COLORADO","Total Population",644560
"203","08007","Archuleta, CO","COLORADO","Total Population",13253
"204","08009","Baca, CO","COLORADO","Total Population",3561
"205","08011","Bent, CO","COLORADO","Total Population",5787
"206","08013","Boulder, CO","COLORADO","Total Population",322510
"207","08014","Broomfield, CO","COLORADO","Total Population",67886
"208","08015","Chaffee, CO","COLORADO","Total Population",19557
"209","08017","Cheyenne, CO","COLORADO","Total Population",2026
"210","08019","ClearCreek, CO","COLORADO","Total Population",9495
"211","08021","Conejos, CO","COLORADO","Total Population",8128
"212","08023","Costilla, CO","COLORADO","Total Population",3745
"213","08025","Crowley, CO","COLORADO","Total Population",5754
"214","08027","Custer, CO","COLORADO","Total Population",4776
"215","08029","Delta, CO","COLORADO","Total Population",30565
"216","08031","Denver, CO","COLORADO","Total Population",705576
"217","08033","Dolores, CO","COLORADO","Total Population",1857
"218","08035","Douglas, CO","COLORADO","Total Population",336041
"219","08037","Eagle, CO","COLORADO","Total Population",54681
"220","08039","Elbert, CO","COLORADO","Total Population",25717
"221","08041","ElPaso, CO","COLORADO","Total Population",698974
"222","08043","Fremont, CO","COLORADO","Total Population",47321
"223","08045","Garfield, CO","COLORADO","Total Population",59055
"224","08047","Gilpin, CO","COLORADO","Total Population",6018
"225","08049","Grand, CO","COLORADO","Total Population",15303
"226","08051","Gunnison, CO","COLORADO","Total Population",16802
"227","08053","Hinsdale, CO","COLORADO","Total Population",857
"228","08055","Huerfano, CO","COLORADO","Total Population",6679
"229","08057","Jackson, CO","COLORADO","Total Population",1261
"230","08059","Jefferson, CO","COLORADO","Total Population",574798
"231","08061","Kiowa, CO","COLORADO","Total Population",1489
"232","08063","KitCarson, CO","COLORADO","Total Population",7447
"233","08065","Lake, CO","COLORADO","Total Population",7751
"234","08067","LaPlata, CO","COLORADO","Total Population",55617
"235","08069","Larimer, CO","COLORADO","Total Population",344786
"236","08071","LasAnimas, CO","COLORADO","Total Population",14266
"237","08073","Lincoln, CO","COLORADO","Total Population",5585
"238","08075","Logan, CO","COLORADO","Total Population",22380
"239","08077","Mesa, CO","COLORADO","Total Population",151218
"240","08081","Moffat, CO","COLORADO","Total Population",13127
"241","08083","Montezuma, CO","COLORADO","Total Population",26031
"242","08085","Montrose, CO","COLORADO","Total Population",41686
"243","08087","Morgan, CO","COLORADO","Total Population",28517
"244","08089","Otero, CO","COLORADO","Total Population",18282
"245","08091","Ouray, CO","COLORADO","Total Population",4796
"246","08093","Park, CO","COLORADO","Total Population",17867
"247","08095","Phillips, CO","COLORADO","Total Population",4290
"248","08097","Pitkin, CO","COLORADO","Total Population",17926
"249","08099","Prowers, CO","COLORADO","Total Population",12022
"250","08101","Pueblo, CO","COLORADO","Total Population",165982
"251","08103","RioBlanco, CO","COLORADO","Total Population",6384
"252","08105","RioGrande, CO","COLORADO","Total Population",11305
"253","08107","Routt, CO","COLORADO","Total Population",25072
"254","08109","Saguache, CO","COLORADO","Total Population",6592
"255","08113","SanMiguel, CO","COLORADO","Total Population",8049
"256","08115","Sedgwick, CO","COLORADO","Total Population",2322
"257","08117","Summit, CO","COLORADO","Total Population",30649
"258","08119","Teller, CO","COLORADO","Total Population",24524
"259","08121","Washington, CO","COLORADO","Total Population",4868
"260","08123","Weld, CO","COLORADO","Total Population",305345
"261","08125","Yuma, CO","COLORADO","Total Population",10003
"262","09001","Fairfield, CT","CONNECTICUT","Total Population",943926
"263","09003","Hartford, CT","CONNECTICUT","Total Population",893561
"264","09005","Litchfield, CT","CONNECTICUT","Total Population",182002
"265","09007","Middlesex, CT","CONNECTICUT","Total Population",163053
"266","09009","NewHaven, CT","CONNECTICUT","Total Population",857513
"267","09011","NewLondon, CT","CONNECTICUT","Total Population",267390
"268","09013","Tolland, CT","CONNECTICUT","Total Population",151063
"269","09015","Windham, CT","CONNECTICUT","Total Population",116566
"270","10001","Kent, DE","DELAWARE","Total Population",176699
"271","10003","NewCastle, DE","DELAWARE","Total Population",556165
"272","10005","Sussex, DE","DELAWARE","Total Population",224384
"273","12001","Alachua, FL","FLORIDA","Total Population",265443
"274","12003","Baker, FL","FLORIDA","Total Population",28211
"275","12005","Bay, FL","FLORIDA","Total Population",182161
"276","12007","Bradford, FL","FLORIDA","Total Population",27317
"277","12009","Brevard, FL","FLORIDA","Total Population",585507
"278","12011","Broward, FL","FLORIDA","Total Population",1926205
"279","12013","Calhoun, FL","FLORIDA","Total Population",14362
"280","12015","Charlotte, FL","FLORIDA","Total Population",181067
"281","12017","Citrus, FL","FLORIDA","Total Population",145169
"282","12019","Clay, FL","FLORIDA","Total Population",211405
"283","12021","Collier, FL","FLORIDA","Total Population",371453
"284","12023","Columbia, FL","FLORIDA","Total Population",69968
"285","12027","DeSoto, FL","FLORIDA","Total Population",36903
"286","12029","Dixie, FL","FLORIDA","Total Population",16589
"287","12031","Duval, FL","FLORIDA","Total Population",936186
"288","12033","Escambia, FL","FLORIDA","Total Population",313491
"289","12035","Flagler, FL","FLORIDA","Total Population",109801
"290","12037","Franklin, FL","FLORIDA","Total Population",11811
"291","12039","Gadsden, FL","FLORIDA","Total Population",45945
"292","12041","Gilchrist, FL","FLORIDA","Total Population",17953
"293","12043","Glades, FL","FLORIDA","Total Population",13516
"294","12045","Gulf, FL","FLORIDA","Total Population",15576
"295","12047","Hamilton, FL","FLORIDA","Total Population",14326
"296","12049","Hardee, FL","FLORIDA","Total Population",27131
"297","12051","Hendry, FL","FLORIDA","Total Population",40732
"298","12053","Hernando, FL","FLORIDA","Total Population",186313
"299","12055","Highlands, FL","FLORIDA","Total Population",103437
"300","12057","Hillsborough, FL","FLORIDA","Total Population",1422278
"301","12059","Holmes, FL","FLORIDA","Total Population",19432
"302","12061","IndianRiver, FL","FLORIDA","Total Population",153989
"303","12063","Jackson, FL","FLORIDA","Total Population",47945
"304","12065","Jefferson, FL","FLORIDA","Total Population",14161
"305","12067","Lafayette, FL","FLORIDA","Total Population",8637
"306","12069","Lake, FL","FLORIDA","Total Population",345867
"307","12071","Lee, FL","FLORIDA","Total Population",737468
"308","12073","Leon, FL","FLORIDA","Total Population",289770
"309","12075","Levy, FL","FLORIDA","Total Population",40403
"310","12077","Liberty, FL","FLORIDA","Total Population",8345
"311","12079","Madison, FL","FLORIDA","Total Population",18460
"312","12081","Manatee, FL","FLORIDA","Total Population",384213
"313","12083","Marion, FL","FLORIDA","Total Population",353526
"314","12085","Martin, FL","FLORIDA","Total Population",159065
"315","12086","Miami-Dade, FL","FLORIDA","Total Population",2699428
"316","12087","Monroe, FL","FLORIDA","Total Population",75798
"317","12089","Nassau, FL","FLORIDA","Total Population",83098
"318","12091","Okaloosa, FL","FLORIDA","Total Population",203794
"319","12093","Okeechobee, FL","FLORIDA","Total Population",41144
"320","12095","Orange, FL","FLORIDA","Total Population",1349746
"321","12097","Osceola, FL","FLORIDA","Total Population",351955
"322","12099","PalmBeach, FL","FLORIDA","Total Population",1465027
"323","12101","Pasco, FL","FLORIDA","Total Population",524602
"324","12103","Pinellas, FL","FLORIDA","Total Population",964666
"325","12105","Polk, FL","FLORIDA","Total Population",686218
"326","12107","Putnam, FL","FLORIDA","Total Population",73252
"327","12109","St.Johns, FL","FLORIDA","Total Population",244674
"328","12111","St.Lucie, FL","FLORIDA","Total Population",312947
"329","12113","SantaRosa, FL","FLORIDA","Total Population",174755
"330","12115","Sarasota, FL","FLORIDA","Total Population",419496
"331","12117","Seminole, FL","FLORIDA","Total Population",461402
"332","12119","Sumter, FL","FLORIDA","Total Population",125044
"333","12121","Suwannee, FL","FLORIDA","Total Population",44046
"334","12123","Taylor, FL","FLORIDA","Total Population",21870
"335","12125","Union, FL","FLORIDA","Total Population",15303
"336","12127","Volusia, FL","FLORIDA","Total Population",536487
"337","12129","Wakulla, FL","FLORIDA","Total Population",32321
"338","12131","Walton, FL","FLORIDA","Total Population",68262
"339","12133","Washington, FL","FLORIDA","Total Population",24764
"340","13001","Appling, GA","GEORGIA","Total Population",18440
"341","13003","Atkinson, GA","GEORGIA","Total Population",8239
"342","13005","Bacon, GA","GEORGIA","Total Population",11201
"343","13007","Baker, GA","GEORGIA","Total Population",3132
"344","13009","Baldwin, GA","GEORGIA","Total Population",45111
"345","13011","Banks, GA","GEORGIA","Total Population",18708
"346","13013","Barrow, GA","GEORGIA","Total Population",78991
"347","13015","Bartow, GA","GEORGIA","Total Population",104919
"348","13017","BenHill, GA","GEORGIA","Total Population",17033
"349","13019","Berrien, GA","GEORGIA","Total Population",19152
"350","13021","Bibb, GA","GEORGIA","Total Population",153200
"351","13023","Bleckley, GA","GEORGIA","Total Population",12807
"352","13025","Brantley, GA","GEORGIA","Total Population",18756
"353","13027","Brooks, GA","GEORGIA","Total Population",15590
"354","13029","Bryan, GA","GEORGIA","Total Population",37063
"355","13031","Bulloch, GA","GEORGIA","Total Population",76120
"356","13033","Burke, GA","GEORGIA","Total Population",22520
"357","13035","Butts, GA","GEORGIA","Total Population",24090
"358","13037","Calhoun, GA","GEORGIA","Total Population",6365
"359","13039","Camden, GA","GEORGIA","Total Population",53231
"360","13043","Candler, GA","GEORGIA","Total Population",10812
"361","13045","Carroll, GA","GEORGIA","Total Population",117183
"362","13047","Catoosa, GA","GEORGIA","Total Population",66700
"363","13049","Charlton, GA","GEORGIA","Total Population",13040
"364","13051","Chatham, GA","GEORGIA","Total Population",288496
"365","13053","Chattahoochee, GA","GEORGIA","Total Population",10560
"366","13055","Chattooga, GA","GEORGIA","Total Population",24812
"367","13057","Cherokee, GA","GEORGIA","Total Population",247515
"368","13059","Clarke, GA","GEORGIA","Total Population",126176
"369","13061","Clay, GA","GEORGIA","Total Population",2951
"370","13063","Clayton, GA","GEORGIA","Total Population",283538
"371","13065","Clinch, GA","GEORGIA","Total Population",6686
"372","13067","Cobb, GA","GEORGIA","Total Population",751218
"373","13069","Coffee, GA","GEORGIA","Total Population",43021
"374","13071","Colquitt, GA","GEORGIA","Total Population",45486
"375","13073","Columbia, GA","GEORGIA","Total Population",150705
"376","13075","Cook, GA","GEORGIA","Total Population",17177
"377","13077","Coweta, GA","GEORGIA","Total Population",143260
"378","13079","Crawford, GA","GEORGIA","Total Population",12325
"379","13081","Crisp, GA","GEORGIA","Total Population",22713
"380","13083","Dade, GA","GEORGIA","Total Population",16197
"381","13085","Dawson, GA","GEORGIA","Total Population",24536
"382","13087","Decatur, GA","GEORGIA","Total Population",26682
"383","13089","DeKalb, GA","GEORGIA","Total Population",749323
"384","13091","Dodge, GA","GEORGIA","Total Population",20829
"385","13093","Dooly, GA","GEORGIA","Total Population",13736
"386","13095","Dougherty, GA","GEORGIA","Total Population",89703
"387","13097","Douglas, GA","GEORGIA","Total Population",143316
"388","13099","Early, GA","GEORGIA","Total Population",10312
"389","13101","Echols, GA","GEORGIA","Total Population",3981
"390","13103","Effingham, GA","GEORGIA","Total Population",60477
"391","13105","Elbert, GA","GEORGIA","Total Population",19166
"392","13107","Emanuel, GA","GEORGIA","Total Population",22533
"393","13109","Evans, GA","GEORGIA","Total Population",10687
"394","13111","Fannin, GA","GEORGIA","Total Population",25395
"395","13113","Fayette, GA","GEORGIA","Total Population",112303
"396","13115","Floyd, GA","GEORGIA","Total Population",97369
"397","13117","Forsyth, GA","GEORGIA","Total Population",228383
"398","13119","Franklin, GA","GEORGIA","Total Population",22766
"399","13121","Fulton, GA","GEORGIA","Total Population",1036200
"400","13123","Gilmer, GA","GEORGIA","Total Population",30414
"401","13125","Glascock, GA","GEORGIA","Total Population",2996
"402","13127","Glynn, GA","GEORGIA","Total Population",84470
"403","13129","Gordon, GA","GEORGIA","Total Population",57202
"404","13131","Grady, GA","GEORGIA","Total Population",24828
"405","13133","Greene, GA","GEORGIA","Total Population",17349
"406","13135","Gwinnett, GA","GEORGIA","Total Population",915046
"407","13137","Habersham, GA","GEORGIA","Total Population",44626
"408","13139","Hall, GA","GEORGIA","Total Population",198667
"409","13141","Hancock, GA","GEORGIA","Total Population",8515
"410","13143","Haralson, GA","GEORGIA","Total Population",29227
"411","13145","Harris, GA","GEORGIA","Total Population",34105
"412","13147","Hart, GA","GEORGIA","Total Population",25773
"413","13149","Heard, GA","GEORGIA","Total Population",11736
"414","13151","Henry, GA","GEORGIA","Total Population",225356
"415","13153","Houston, GA","GEORGIA","Total Population",153507
"416","13155","Irwin, GA","GEORGIA","Total Population",9320
"417","13157","Jackson, GA","GEORGIA","Total Population",67885
"418","13159","Jasper, GA","GEORGIA","Total Population",13916
"419","13161","JeffDavis, GA","GEORGIA","Total Population",15036
"420","13163","Jefferson, GA","GEORGIA","Total Population",15618
"421","13165","Jenkins, GA","GEORGIA","Total Population",8793
"422","13167","Johnson, GA","GEORGIA","Total Population",9691
"423","13169","Jones, GA","GEORGIA","Total Population",28579
"424","13171","Lamar, GA","GEORGIA","Total Population",18672
"425","13173","Lanier, GA","GEORGIA","Total Population",10380
"426","13175","Laurens, GA","GEORGIA","Total Population",47405
"427","13177","Lee, GA","GEORGIA","Total Population",29502
"428","13179","Liberty, GA","GEORGIA","Total Population",61349
"429","13181","Lincoln, GA","GEORGIA","Total Population",7856
"430","13183","Long, GA","GEORGIA","Total Population",18692
"431","13185","Lowndes, GA","GEORGIA","Total Population",115364
"432","13187","Lumpkin, GA","GEORGIA","Total Population",32402
"433","13189","McDuffie, GA","GEORGIA","Total Population",21455
"434","13191","McIntosh, GA","GEORGIA","Total Population",14174
"435","13193","Macon, GA","GEORGIA","Total Population",13305
"436","13195","Madison, GA","GEORGIA","Total Population",29218
"437","13197","Marion, GA","GEORGIA","Total Population",8432
"438","13199","Meriwether, GA","GEORGIA","Total Population",21106
"439","13201","Miller, GA","GEORGIA","Total Population",5787
"440","13205","Mitchell, GA","GEORGIA","Total Population",22244
"441","13207","Monroe, GA","GEORGIA","Total Population",27171
"442","13209","Montgomery, GA","GEORGIA","Total Population",9058
"443","13211","Morgan, GA","GEORGIA","Total Population",18507
"444","13213","Murray, GA","GEORGIA","Total Population",39724
"445","13215","Muscogee, GA","GEORGIA","Total Population",195739
"446","13217","Newton, GA","GEORGIA","Total Population",108079
"447","13219","Oconee, GA","GEORGIA","Total Population",38132
"448","13221","Oglethorpe, GA","GEORGIA","Total Population",14931
"449","13223","Paulding, GA","GEORGIA","Total Population",159825
"450","13225","Peach, GA","GEORGIA","Total Population",27145
"451","13227","Pickens, GA","GEORGIA","Total Population",31387
"452","13229","Pierce, GA","GEORGIA","Total Population",19250
"453","13231","Pike, GA","GEORGIA","Total Population",18327
"454","13233","Polk, GA","GEORGIA","Total Population",41908
"455","13235","Pulaski, GA","GEORGIA","Total Population",11216
"456","13237","Putnam, GA","GEORGIA","Total Population",21691
"457","13239","Quitman, GA","GEORGIA","Total Population",2289
"458","13241","Rabun, GA","GEORGIA","Total Population",16645
"459","13243","Randolph, GA","GEORGIA","Total Population",6973
"460","13245","Richmond, GA","GEORGIA","Total Population",201852
"461","13247","Rockdale, GA","GEORGIA","Total Population",89717
"462","13249","Schley, GA","GEORGIA","Total Population",5221
"463","13251","Screven, GA","GEORGIA","Total Population",13989
"464","13253","Seminole, GA","GEORGIA","Total Population",8321
"465","13255","Spalding, GA","GEORGIA","Total Population",65306
"466","13257","Stephens, GA","GEORGIA","Total Population",25750
"467","13259","Stewart, GA","GEORGIA","Total Population",6293
"468","13261","Sumter, GA","GEORGIA","Total Population",30064
"469","13263","Talbot, GA","GEORGIA","Total Population",6321
"470","13265","Taliaferro, GA","GEORGIA","Total Population",1611
"471","13267","Tattnall, GA","GEORGIA","Total Population",25382
"472","13269","Taylor, GA","GEORGIA","Total Population",8116
"473","13271","Telfair, GA","GEORGIA","Total Population",16035
"474","13273","Terrell, GA","GEORGIA","Total Population",8737
